trip_id,driver_id,rating,late_delivery_flag
TRP-100-001,DRV100395,4.377462145336614,0
TRP-100-002,DRV100381,4.941090174395413,0
TRP-100-003,DRV100508,4.086181583975158,0
TRP-100-004,DRV100293,4.789175566205969,0
TRP-100-005,DRV100076,4.098214109820005,1
TRP-100-006,DRV100180,4.455175755784348,0
TRP-100-007,DRV100388,4.906375821821892,0
TRP-100-008,DRV100364,4.66906902844013,0
TRP-100-009,DRV100317,4.2664259718484985,0
TRP-100-010,DRV100400,4.521111034198211,0
TRP-100-011,DRV100379,4.8753272731025925,0
TRP-100-012,DRV100520,4.1421823074435515,0
TRP-100-013,DRV100343,4.39545590339875,0
TRP-100-014,DRV100460,4.135913663437274,0
TRP-100-015,DRV100152,3.8822783191748216,1
TRP-100-016,DRV100395,4.664956892546526,0
TRP-100-017,DRV100537,4.106803201964098,1
TRP-100-018,DRV100238,4.102232419816183,1
TRP-100-019,DRV100460,4.143885144210887,0
TRP-100-020,DRV100425,4.888180543149064,0
TRP-100-021,DRV100031,4.019554017482728,1
TRP-100-022,DRV100339,4.690555877661849,0
TRP-100-023,DRV100073,3.206020524804797,1
TRP-100-024,DRV100580,4.11250741055201,1
TRP-100-025,DRV100479,4.497070219925879,0
TRP-100-026,DRV100062,4.542744719976048,0
TRP-100-027,DRV100069,4.484697082278733,0
TRP-100-028,DRV100348,4.539747896836855,1
TRP-100-029,DRV100212,4.6767984099802415,0
TRP-100-030,DRV100023,4.620783990990723,0
TRP-100-031,DRV100323,4.5987831591541735,0
TRP-100-032,DRV100239,4.855015303671622,0
TRP-100-033,DRV100055,4.779630900548836,0
TRP-100-034,DRV100475,4.418930319540503,0
TRP-100-035,DRV100545,4.395132179229996,0
TRP-100-036,DRV100447,4.253598003968674,1
TRP-100-037,DRV100484,3.8513436313027136,0
TRP-100-038,DRV100132,4.156405952493066,0
TRP-100-039,DRV100163,3.9840013079322,1
TRP-100-040,DRV100124,3.9879489710885547,1
TRP-100-041,DRV100450,4.793678679986709,0
TRP-100-042,DRV100568,4.577671216203526,0
TRP-100-043,DRV100423,4.567229699443347,0
TRP-100-044,DRV100520,4.593039162714428,0
TRP-100-045,DRV100380,4.918356491693332,0
TRP-100-046,DRV100239,4.551913678778901,0
TRP-100-047,DRV100260,4.55932209475426,0
TRP-100-048,DRV100046,4.65497825450902,0
TRP-100-049,DRV100020,3.8049689881555855,0
TRP-100-050,DRV100409,4.520598571032513,0
TRP-100-051,DRV100266,4.519409893615206,0
TRP-100-052,DRV100329,4.534073221549386,0
TRP-100-053,DRV100331,4.201828671982492,1
TRP-100-054,DRV100173,5.0,0
TRP-100-055,DRV100284,4.408328842301758,0
TRP-100-056,DRV100284,4.868664709162743,0
TRP-100-057,DRV100240,3.78022311360124,0
TRP-100-058,DRV100482,4.63188176599092,0
TRP-100-059,DRV100276,4.397087962030523,0
TRP-100-060,DRV100357,4.633144319774446,1
TRP-100-061,DRV100531,4.6624269735209065,0
TRP-100-062,DRV100510,4.42147399396744,0
TRP-100-063,DRV100527,4.695076408340114,0
TRP-100-064,DRV100168,4.7736123971230455,0
TRP-100-065,DRV100023,4.037499967826779,0
TRP-100-066,DRV100161,4.52266216386377,0
TRP-100-067,DRV100174,4.681859318523012,0
TRP-100-068,DRV100543,4.5709390410457935,0
TRP-100-069,DRV100381,3.904814530488021,0
TRP-100-070,DRV100046,4.047023039589813,1
TRP-100-071,DRV100076,4.287511313576917,0
TRP-100-072,DRV100087,4.751199916296766,0
TRP-100-073,DRV100376,4.249240205205177,1
TRP-100-074,DRV100434,4.277183612243486,0
TRP-100-075,DRV100508,4.474533019087692,0
TRP-100-076,DRV100564,4.511529431739196,0
TRP-100-077,DRV100118,4.503954764873674,0
TRP-100-078,DRV100193,4.555735974909931,0
TRP-100-079,DRV100146,4.170594870230388,1
TRP-100-080,DRV100220,4.46792732551878,0
TRP-100-081,DRV100545,4.4450088453741685,0
TRP-100-082,DRV100337,4.3429740278770534,1
TRP-100-083,DRV100435,3.906963819907749,1
TRP-100-084,DRV100294,4.670680182990814,0
TRP-100-085,DRV100020,4.685111439991083,0
TRP-100-086,DRV100035,4.2286908150322144,1
TRP-100-087,DRV100323,4.77646793115768,0
TRP-100-088,DRV100423,4.111200910314592,0
TRP-100-089,DRV100131,3.9943357142229345,1
TRP-100-090,DRV100425,4.404362418582253,0
TRP-100-091,DRV100479,4.6235858127412515,0
TRP-100-092,DRV100251,4.788254477138882,0
TRP-100-093,DRV100440,4.2684544824647235,0
TRP-100-094,DRV100248,3.981910329828347,1
TRP-100-095,DRV100395,4.692323469889096,0
TRP-100-096,DRV100450,4.416178863917472,0
TRP-100-097,DRV100595,4.3840674734417515,0
TRP-100-098,DRV100212,4.905271824861082,0
TRP-100-099,DRV100251,4.114303513324183,1
TRP-100-100,DRV100094,3.6562214095608954,1
TRP-100-101,DRV100120,4.644855179441829,0
TRP-100-102,DRV100407,4.531677630957475,0
TRP-100-103,DRV100547,4.724514310257508,0
TRP-100-104,DRV100244,4.279419213541069,0
TRP-100-105,DRV100104,4.505280889745584,0
TRP-100-106,DRV100177,4.8295658393326475,0
TRP-100-107,DRV100278,4.553365685709445,0
TRP-100-108,DRV100181,4.511081906042851,0
TRP-100-109,DRV100141,4.747217101536018,0
TRP-100-110,DRV100434,4.425967467601839,1
TRP-100-111,DRV100006,4.556404857936377,0
TRP-100-112,DRV100323,4.033855916017827,1
